UC,Bounded Context,Estado,User Stories,Application Service,Aggregates,Prioridad,Descripción,Actores,Precondiciones,Flujo Normal,Domain Events,Poscondiciones,Notas,Campos Faltantes,Secciones Faltantes,Prioridad Corrección
UC-001,BC-Identidad,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-002,BC-Identidad,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-003,BC-Identidad,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-004,BC-Identidad,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-005,BC-Identidad,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-006,BC-Membresia,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-007,BC-Membresia,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-008,BC-Membresia,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-009,BC-Membresia,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-010,BC-Membresia,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-011,BC-Membresia,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-012,BC-Membresia,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-013,BC-Membresia,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-014,BC-Membresia,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-015,BC-Membresia,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-016,BC-Membresia,Incompleto - FUSIONADO,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,FALTA,"User Stories, Bounded Context, Application Service, Aggregates, Prioridad","Descripción, Actores, Precondiciones, Flujo Normal, Domain Events, Poscondiciones, Notas",CRÍTICO
UC-017,BC-Tesoreria,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-018,BC-Tesoreria,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-019,BC-Tesoreria,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-020,BC-Tesoreria,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-021,BC-Tesoreria,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-022,BC-Tesoreria,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-023,BC-Tesoreria,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-024,BC-Tesoreria,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-025,BC-Tesoreria,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-026,BC-Tesoreria,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-027,BC-Tesoreria,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-028,BC-Eventos,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-029,BC-Eventos,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-030,BC-Eventos,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-031,BC-Eventos,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-032,BC-Eventos,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-033,BC-Eventos,Completo,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,"N/A"
UC-034,BC-Eventos,Incompleto,OK,FALTA,OK,OK,OK,OK,OK,OK,OK,FALTA,FALTA,"Application Service","Poscondiciones, Notas",ALTA
UC-035,BC-Eventos,Incompleto,OK,FALTA,OK,OK,OK,OK,OK,OK,OK,OK,OK,"Application Service",,ALTA
